Best Amenity Scored,lat,lon,amenity,name,distance
276,49.2762561,-123.1155406,restaurant,Pho Khanh,974.4232591746326
277,49.276166,-123.1157038,cafe,7Days Coffee,972.7159107309307
278,49.2828897,-123.1230681,fast_food,Basil Box,106.07850768893708
279,49.2850423,-123.1205667,cafe,Starbucks,407.12448033243794
280,49.2828886,-123.12373,restaurant,Boulevard Kitchen & Oyster Bar,62.854274976911
281,49.2841391,-123.1142912,fast_food,Burger King,803.7646975213962
282,49.2842663,-123.1144275,restaurant,Gyoza Bar,796.7810090568368
283,49.2765744,-123.1273162,police,Granville Community Policing Centre,698.7778458478044
284,49.277133,-123.1296758,cafe,Starbucks,729.0247056202991
285,49.285769,-123.1247049,restaurant,Neptune Chinese Kitchen,365.9800364944592
286,49.2853887,-123.1229586,cafe,Urban Tea Merchant,338.9556946827821
287,49.2856601,-123.1210867,restaurant,Victoria Chinese Restaurant,432.8732890989965
288,49.2820786,-123.1340707,cafe,Ho Ho's Yummy Food,765.3079701289618
289,49.2821447,-123.1337057,restaurant,Davie Dosa Company,736.4033799576765
290,49.282131,-123.1341558,cafe,Sumac Cafe,771.6268106372104
291,49.2819972,-123.1334555,restaurant,Downtown Sushi Bar,717.9328668168174
292,49.2822483,-123.1343416,cafe,Melriches Coffee House,785.5812085106858
293,49.2822628,-123.1337681,pub,Guu Davie,740.7122078413643
294,49.2818284,-123.1336764,restaurant,Al Basha,736.7910314399901
295,49.2817505,-123.1335605,cafe,Mary's on Davie,728.7011853278148
296,49.2823322,-123.1345615,bar,Score,802.5069923523827
297,49.2819635,-123.1333845,cafe,Blenz Coffee,712.6957781903063
298,49.280931,-123.1323047,fast_food,Pho Goodness,649.4207697224296
299,49.2766922,-123.1202664,restaurant,The Parlour,717.6857233627483
300,49.2776864,-123.116068,restaurant,Grounds for Appeal,836.3839001073654
301,49.2777096,-123.1309686,cafe,Number e Food,744.5725808063884
302,49.2879481,-123.1238127,restaurant,SushiGo,608.1078807646593
303,49.2769091,-123.1307701,restaurant,RV's Butter Kitchen,800.6218072232955
304,49.2832215,-123.1206763,fountain,Edward VII,294.7723226581676
305,49.28049,-123.1316384,restaurant,Taki's Taverna,615.3508254990204
306,49.280638,-123.1310878,restaurant,Cazba,569.2644378524576
307,49.2811705,-123.1204114,fast_food,Burger King,337.5863708807667
308,49.274665,-123.122111,cafe,Starbucks,886.7716092205793
309,49.2890203,-123.1221386,restaurant,JOS,745.5436956266052
310,49.2789851,-123.1164249,cafe,Le Petit Belge,728.6915767258702
311,49.2847649,-123.1210612,fast_food,McDonald's,357.93311064417765
312,49.2848332,-123.1209459,cafe,Tim Hortons,369.6799584549411
313,49.2875394,-123.1200147,cafe,Starbucks,653.8472235455602
314,49.285504,-123.118815,restaurant,Cactus Club Cafe,544.2843505746919
315,49.285292,-123.119384,bank,Canadian Western Bank,494.79211681014897
316,49.2808178,-123.1312913,doctors,Care Point Medical Clinic,577.3815003784042
317,49.2877533,-123.1239048,bicycle_rental,Melville & Bute,586.0674534551002
318,49.2878856,-123.1184927,restaurant,Chewies,752.422156009358
319,49.2859601,-123.1274065,restaurant,Ebisu,455.9426116830792
320,49.2836676,-123.1236177,cafe,Café Crêpe Express,141.39328295437733
321,49.2809013,-123.1322613,restaurant,Mumbai Local,647.0449510877293
322,49.2878625,-123.1239772,cafe,Starbucks,597.9276932396602
323,49.2883499,-123.1238793,pharmacy,Shoppers Drug Mart,652.4209458857754
324,49.2874308,-123.1149042,restaurant,Hapa Izakaya,917.3615124541469
325,49.2840215,-123.1141074,pub,Malone's,814.929969000779
326,49.2811524,-123.1155377,bank,BMO,701.0505692656436
327,49.2804032,-123.121024,theatre,The Orpheum,345.61435154668635
328,49.2818739,-123.1155162,car_sharing,Zipcar,690.1843625088362
329,49.277457,-123.1259686,fast_food,Grade 'A' Cafe,574.6483719365989
330,49.2774975,-123.1259158,fast_food,Mr. Greek,569.3332902376285
331,49.277605,-123.1257615,pub,Sidecar,555.0757624617179
332,49.277701,-123.1256265,restaurant,Umeda Japanese Cuisine,542.5178436946983
333,49.2775903,-123.1252813,car_rental,Access Rent-a-car,550.197286954398
334,49.2778308,-123.1254331,fast_food,Donair Dude,525.5992421442892
335,49.277764,-123.1255337,restaurant,Kings Kitchen,534.2860494758468
336,49.2777995,-123.1254756,restaurant,Twisted Fork Bistro,529.5967386249732
337,49.2776684,-123.1256767,bar,Cabana,546.8353678035596
338,49.2784906,-123.1244505,restaurant,Thai Away Home,444.86863291808083
339,49.2807258,-123.1185785,cafe,Buro,488.4636786060933
340,49.2890583,-123.1250674,bank,RBC,732.822326168898
341,49.2822856,-123.1191044,cafe,Nordstrom E-Bar,406.8631724733776
342,49.2845541,-123.1181578,cafe,Caffe Express,532.2745188727911
343,49.2854943,-123.1171956,restaurant,Shogun,648.1982277212743
344,49.2857406,-123.1168024,bank,Vancity,688.7024511292839
345,49.2789342,-123.1237243,pub,Johnnie Fox's Irish Snug,397.940714906338
346,49.2794404,-123.1230068,cafe,Blenz Coffee,353.85293603788773
347,49.2797017,-123.1226378,restaurant,Colony,336.1804887509931
348,49.2763415,-123.1271096,car_rental,Hertz,718.1040344921074
349,49.2750892,-123.1227583,restaurant,Cactus Club Cafe,831.7118554053112
350,49.2757856,-123.1211099,cafe,Blenz Coffee,786.1103371865064
351,49.2757748,-123.1205164,restaurant,Earls Kitchen + Bar,803.156765236261
352,49.2765618,-123.1193697,restaurant,The Keg Steakhouse + Bar - Yaletown,763.6174946428362
353,49.2781459,-123.1172381,restaurant,Lupo,733.6061493034771
354,49.2786865,-123.1294307,bank,TD Canada Trust,582.9109293809096
355,49.2792632,-123.11611,restaurant,Wasabi,734.0099212243728
